Price Period,Town,Super,Diesel,Kerosene
May 15th 2022 - June 14th 2022,Kaplamai,150.94,132.14,120.08000000000001
May 15th 2022 - June 14th 2022,Eldama Ravine,151.36,132.55,120.51
May 15th 2022 - June 14th 2022,Tenges,151.5,132.69,120.65
May 15th 2022 - June 14th 2022,Barwessa,151.62,132.81,120.75
May 15th 2022 - June 14th 2022,Kipsaraman,152.52,133.71,121.66000000000001
May 15th 2022 - June 14th 2022,Loruk,152.39000000000001,133.58,121.53
May 15th 2022 - June 14th 2022,Kabartonjo,151.36,132.55,120.51
May 15th 2022 - June 14th 2022,Tindiret,151.43,132.61,120.57000000000001
May 15th 2022 - June 14th 2022,O'lessos,150.59,131.78,119.74000000000001
May 15th 2022 - June 14th 2022,Kobujoi,150.99,132.19,120.14
May 15th 2022 - June 14th 2022,Serem,151.07,132.27,120.21000000000001
May 15th 2022 - June 14th 2022,Kabiyet,150.53,131.72,119.67
May 15th 2022 - June 14th 2022,Cheptulu,150.95000000000002,132.15,120.10000000000001
May 15th 2022 - June 14th 2022,Songor,151.5,132.69,120.65
May 15th 2022 - June 14th 2022,Kapcherop,151.13,132.33,120.28
May 15th 2022 - June 14th 2022,Sambalat,151.82,133.01,120.97
May 15th 2022 - June 14th 2022,Arror,151.47,132.67000000000002,120.61
May 15th 2022 - June 14th 2022,Tot,151.68,132.87,120.82000000000001
May 15th 2022 - June 14th 2022,Kaptarakwa,150.72,131.91000000000003,119.87
May 15th 2022 - June 14th 2022,Kapese,153.67000000000002,134.85999999999999,122.82000000000001
May 15th 2022 - June 14th 2022,Kalemngorok,153.07,134.25,122.21000000000001
May 15th 2022 - June 14th 2022,Marich,152.04,133.24,121.19000000000001
May 15th 2022 - June 14th 2022,Alale,152.54,133.72,121.68
May 15th 2022 - June 14th 2022,Kunyao,152.19,133.39,121.34
May 15th 2022 - June 14th 2022,Asilong,151.78,132.98000000000002,120.93
May 15th 2022 - June 14th 2022,Orolwo,151.82,133.01,120.97
May 15th 2022 - June 14th 2022,Sebit,151.77,132.96,120.92
May 15th 2022 - June 14th 2022,Morpus,151.68,132.87,120.82000000000001
May 15th 2022 - June 14th 2022,Chepkorniswo,151.57,132.75,120.71000000000001
May 15th 2022 - June 14th 2022,Kaibichbich,151.51000000000002,132.7,120.66000000000001
May 15th 2022 - June 14th 2022,Keringet,151.24,132.43,120.39
May 15th 2022 - June 14th 2022,Kisumu,150.53,131.7,119.66000000000001
May 15th 2022 - June 14th 2022,Sondu,150.64000000000001,131.8,119.77000000000001
May 15th 2022 - June 14th 2022,Oyugis,151.11,132.29000000000002,120.25
May 15th 2022 - June 14th 2022,Kakamega,150.58,131.75,119.72
May 15th 2022 - June 14th 2022,Mumias,150.86,132.03,119.99000000000001
May 15th 2022 - June 14th 2022,Bondo,150.75,131.91000000000003,119.88000000000001
May 15th 2022 - June 14th 2022,Siaya,150.86,132.04000000000002,120.0
May 15th 2022 - June 14th 2022,Kericho,151.05,132.21,120.17
May 15th 2022 - June 14th 2022,Nyamira,151.1,132.28,120.24000000000001
May 15th 2022 - June 14th 2022,Kisii,151.41,132.58,120.55000000000001
May 15th 2022 - June 14th 2022,Sotik,151.24,132.42000000000002,120.38000000000001
May 15th 2022 - June 14th 2022,Keroka,151.43,132.60000000000002,120.56
May 15th 2022 - June 14th 2022,Busia,151.4,132.57,120.54
May 15th 2022 - June 14th 2022,Homabay,151.35,132.52,120.48
May 15th 2022 - June 14th 2022,Migori,152.20000000000002,133.37,121.34
May 15th 2022 - June 14th 2022,Isebania,152.48000000000002,133.66,121.62
