Town,Super,Diesel,Kerosene,Start_Date,End_Date,(Start_Date)Day_of_week,(Start_Date)Day_of_month,(Start_Date)Month_No,(Start_Date)Year,(End_Date)Day_of_week,(End_Date)Day_of_month,(End_Date)Month_No,(End_Date)Year,Date_Range,Duration(Days),Dollar_Price
Kapedo,180.33,165.53,149.49,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Malaba,178.66,163.88,147.84,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Lokichogio,184.46,169.68,153.63,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Ziwa,177.69,162.91,146.87,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Soy,177.51,162.72,146.67,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Moi's Bridge,177.57,162.78,146.74,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Turbo,177.45,162.67,146.62,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Kibish,185.56,170.77,154.73,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Nakalale,184.39,169.6,153.55,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Loima,180.8,166.02,149.97,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Lokiriama,182.37,167.59,151.53,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Kainuk,179.57,164.79,148.74,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
Kacheliba,178.9,164.12,148.07,2/15/2023,3/14/2023,Wednesday,15,2,2023,Tuesday,14,3,2023,2023-02-15 - 2023-03-14,27,125.40
